ticker,isin,name,benchmark,benchmark_area,category,issuer
SEME.MI,IE000I8KRLL9,ISHARES MSCI GLB SEMICONDUCTOR UCITS ETF,MSCIACWI IMI SEMICOND&SEMICO EQUIP ESG SCREEN SEL,EQUITY THEMATIC,ETF,iShares
XAIX.MI,IE00BGV5VN51,XTRACKERS ART INTEL & BIG DATA UCITS ETF,NASDAQ YEWNO GLOBAL ARTIFICIAL INTELLIGENCE AND BI,EQUITY THEMATIC,ETF,Xtrackers - DWS
TNOW.MI,LU0533033667,Amundi MSCI World Info Techn UCITS ETF,MSCI WORLD INFORMATION TECHNOLOGY NTR,EQUITY SECTORS,ETF,Amundi
AICU.MI,IE00018U4PN8,AXA IM Emerg Mkts Credit PAB UCITS ETF A,ICE EMRG MARKETS CORP PARIS ALI EMISSIONS,CORPORATE BOND - EMERGING,ETF,AXA IM
EMCR.MI,IE00B6TLBW47,ISHARES JP MORG $ EM CORP BOND UCITS ETF,JP MORGAN CEMBI BROAD DIVERSIFIED CORE,CORPORATE BOND - EMERGING,ETF,iShares
EMMH.MI,IE000ZO4CUT7,L&G Emerging Markets Corporate Bond (USD) Screened UCITS ETF,J.P. MORGAN ESG CEMBI BROAD DIVERSIFIED CUSTOM MAT,CORPORATE BOND - EMERGING,ETF,Legal&General
HYEM.MI,IE00BF541080,VANECK EMER MARKETS HIGH YIELD UCITS ETF,ICE BOFAML DIV HIGH YIELD US EMERGING MARK CORP PL,CORPORATE BOND - EMERGING,ETF,VanEck
EBBB.MI,LU1525418643,AMUNDI EUR CORPORATE BOND 1-5Y ESG UCITS ETF Acc,Bloomberg MSCI ESG Euro Corporate 1-5 Year Select,CORPORATE BOND - EUR,ETF,Amundi
CBEF.MI,LU1829218822,Amudi EUR Corp Bnd ex-Fin ESG UCITS ETF,Bloomberg MSCI ESG EUR Corporate Liquid ex Financi,CORPORATE BOND - EUR,ETF,Amundi
SRIUC.MI,LU2533812058,BNP Paribas Easy EUR Corp Bond SRI Fossil Free Ultrashort Duration UCITS ETF,BLOOMBERG MSCI EUCORP ULTRASHORT FIXANDFLOAT RATE,CORPORATE BOND - EUR,ETF,BNP Paribas
SRIC3.MI,LU2008760592,BNP Paribas Easy EUR Corp Bond SRI PAB 1-3Y UCITS ETF,BLOOMB MSCI1-3Y EUR CORPSRISUSTSEL.EXFOSFUEL PAB,CORPORATE BOND - EUR,ETF,BNP Paribas
XZE5.MI,LU2178481649,EUR CORP B SH DU SRI PAB UCITS ETF,BLOOMBERG MSCI EURO CORPORATE SRI 0-5 YEAR PAB,CORPORATE BOND - EUR,ETF,Xtrackers - DWS
FAMSF3.MI,IE000W6ZFH20,Fineco AM MSCI EUR IG SRI P-Series ex Fossil Fuel (1-3y) Corporate Bond UCITS ETF,MSCI EUR IGSRI SUST EXFOSSIL FUEL 1-3Y CORP BOND,CORPORATE BOND - EUR,ETF,Fineco
FAMSFF.MI,IE000NPK2VI6,Fineco AM MSCI EUR IG SRI P-Series ex Fossil Fuel Corporate Bond UCITS ETF,MSCI EUR IG SRI SUST EXFOSSIL FUEL CORPORATE BOND,CORPORATE BOND - EUR,ETF,Fineco
HECB.MI,IE0000KA1ZX3,HSBC ICAV Euro Corp Bond UCITS ETF Acc,Bloomberg Euro Corp TR Index Unhedged EUR,CORPORATE BOND - EUR,ETF,HSBC
IQEC.MI,LU1603790731,INDEXIQ FACT SUST CORPOR EUR UCITS ETF,SOLACTIVE CANDRIAM FACTORS SUSTAINAB CORP EUR BOND,CORPORATE BOND - EUR,ETF,Candriam
IEAA.MI,IE00BF11F565,ISHARES CORE EU CORP BOND UCITS ETF ACC,Bloomberg Euro Corp TR Index Unhedged EUR,CORPORATE BOND - EUR,ETF,iShares
BE26.MI,IE000AYJ75E5,Invesco BulltShares 26 EUR Crp UCITS ETF,BLOOMBERG 2026 MAT EUR CORP BOND SCREEN,CORPORATE BOND - EUR,ETF,Invesco
COOL.MI,IE00BN4GXL63,Janus Henderson EUR IG Bond Paris-aligned Climate Core UCITS ETF Acc,SOLACTIVE ISS PARIS ALIGNED SELECT EURO CORP BOND,CORPORATE BOND - EUR,ETF,Tabula
SEUC.MI,IE00BC7GZW19,SPDR BL 0-3Y EUR CORP BOND UCITS ETF,BLOOMBERG EURO 0-3 YEAR CORPORATE BOND INDEX,CORPORATE BOND - EUR,ETF,SPDR
CBEU5.MI,LU1048314196,UBS BBG Euro Area Liquid Corp 1-5 UCITS ETF EUR dis,BLOOMBERG BARCLAYS EURO AREA LIQUID CORPORATE1-5TR,CORPORATE BOND - EUR,ETF,UBS
V3RE.MI,IE000QADMYA3,VANGUARD ESG EUR CORP BOND UCITS ETF A,BLOOMBERG MSCI EUR CORPORATE LIQUID BOND,CORPORATE BOND - EUR,ETF,Vanguard
ETFUSC.MI,LU2037749152,Amundi Core USD Corporate Bond UCITS ETF Dist,Bloomberg US Corporate Liquid Issuer Index,CORPORATE BOND - EX EUR,ETF,Amundi
USCBC.MI,LU2616774076,BNPP Easy USD Corp Bond SRI C UCITS ETF,BLOOMBERG MSCI USCORP SRI SUST EX FOSSIL FUEL BOND,CORPORATE BOND - EX EUR,ETF,BNP Paribas
FAMLSS.MI,IE000WMJVNE9,Fineco AM MSCI USD IG Liquid SRI P-Series Corporate Bond UCITS ETF,MSCI USD IG LIQUID SRI SUSTAINABLE CORPORATE BOND,CORPORATE BOND - EX EUR,ETF,Fineco
HAGG.MI,IE000XGNMWE1,HSBC BLOOMBERG GLOBAL ESG AGGREGATE 1-3 YEAR BOND UCITS ETF,BLOOMBERG MSCI GLOBAL AGGREGATE 1-3 SRI CARBON ESG,CORPORATE BOND - EX EUR,ETF,HSBC
BS26.MI,IE000O36LOH8,Invesco BulltShares 26 USD Crp UCITS ETF,BLOOMBERG 2026 MATURITY USD CORP BOND SCREENED,CORPORATE BOND - EX EUR,ETF,Invesco
XBNK.MI,IE000CWS09Q9,L&G Corporate Bond ex-Banks Higher Ratings 0-2Y UCITS ETF,JPM GLOBAL CREDIT ULTRA SHORT EX BANKS 2% ISSUER C,CORPORATE BOND - EX EUR,ETF,Legal&General
USCE.MI,IE00BFY0GV36,SPDR BBG SASB US CORP ESG EURH UCITS ETF,BLOOMBERG SASB US CORP ESG EX-CONTROV SELINDEU HED,CORPORATE BOND - EX EUR,ETF,SPDR
ECO.MI,LU2099991536,UBS BBG MSCI Global Liquid Corp Sustainable UCITS ETF USD acc,MSCI PACIFIC SOCIALLY RESPONSIBLE 5% ISSUER CAPPED,CORPORATE BOND - EX EUR,ETF,UBS
V3GF.MI,IE00BNDS1P30,VANGUARD ESG GL COR BOND UCITS ETF HDG A,BLOOM BARC MSCI GLOB CORP FLOAT-ADJUS LIQ BOND SCR,CORPORATE BOND - EX EUR,ETF,Vanguard
XZBU.MI,IE00BL58LJ19,XT USD CORPORATE BOND SRI PAB  UCITS ETF,BLOOMBERG MSCI USD LIQ INVEST GRADE CORP SRI PAB,CORPORATE BOND - EX EUR,ETF,Xtrackers - DWS
AHYE.MI,LU1681040496,AM EURO HIGH YIELD BOND ESG DR UCITS ETF,IBOXX MSCI ESG EUR HIGH YIELD CORPORATES TCA,CORPORATE BOND - HIGH YIELD,ETF,Amundi
HYSRI.MI,LU2244386053,BNP Paribas Easy EUR High Yield SRI Fossil Free UCITS ETF,BLOOMB-BARCL MSCI EURO HIGH YIELD SRI SUST EXFOSSI,CORPORATE BOND - HIGH YIELD,ETF,BNP Paribas
FAMEUS.MI,IE000O2G7VL0,Fineco AM MSCI EUR HY SRI P-Series Corporate Bond UCITS ETF,MSCI EUR HY SRI SUSTAINABLE CORPORATE BOND INDEX,CORPORATE BOND - HIGH YIELD,ETF,Fineco
XAT1.MI,IE00BFZPF439,INVESCO AT1 CAP BOND UCITS ETF EU HD DIS,IBOXX CONTING CON LIQ DEV MKT AT1 8% ISS CAP,CORPORATE BOND - HIGH YIELD,ETF,Invesco
TAEH.MI,IE000DOZYQJ7,Janus Henderson Haitong Asia ex-Japan High Yield Corp USD Bond Screened Core UCITS ETF EUR-H Dist,IBOXX MSCI ESG USD ASIA EX-JAPAN HIGH YIELD CAPPED,CORPORATE BOND - HIGH YIELD,ETF,Tabula
EUHI.MI,IE00BD8D5H32,PIMCO Advantage Euro Short-Term High Yield Corporate Bond UCITS ETF,BOFA MERRILL L 0-5 YEAR US HIGH YIELD 2% CONSTRAIN,CORPORATE BOND - HIGH YIELD,ETF,Pimco
JNKE.MI,IE00B6YX5M31,SPDR BL EURO HIGH YLD BOND UCITS ETF,BLOOMBERG LIQ SCREENED EU HIGH YLD BOND INDEX,CORPORATE BOND - HIGH YIELD,ETF,SPDR
GFA.MI,IE00BF540Z61,VANECK FALLEN ANGEL HIGH YIELD UCITS ETF,ICE Global Fallen Angel High Yield 10% Constrained,CORPORATE BOND - HIGH YIELD,ETF,VanEck
LAFRI.MI,LU1287022708,Amundi Pan Africa UCITS ETF Acc,SGI PAN AFRICA PRICE INDEX NTR,EQUITY EMERGING - AFRICA/MIDDLE EAST,ETF,Amundi
SAUDI.MI,IE000C7DDDX4,Franklin FTSE Saudi Arabia UCITS ETF,FTSE SAUDI ARABIA 30/18 CAPPED INDEX-NR,EQUITY EMERGING - AFRICA/MIDDLE EAST,ETF,Franklin Templeton
SRSA.MI,IE00B52XQP83,ISHARES MSCI SOUTH AFRICA UCITS ETF ACC,MSCI SOUTH AFRICA 20/35 INDEX,EQUITY EMERGING - AFRICA/MIDDLE EAST,ETF,iShares
AASI.MI,LU1681044480,AMUNDI MSCI EM ASIA UCITS ETF - EUR,MSCI EM ASIA TRN INDEX,EQUITY EMERGING - ASIA,ETF,Amundi
AEJ.MI,LU1900068328,Amdi MSCI AC Asia Pcfc Ex Jpn UCITS ETF,MSCI DAILY TR NET AC ASI,EQUITY EMERGING - ASIA,ETF,Amundi
CHINE.MI,LU2314312849,"BNP PARIBAS EASY MSCI China Min TE [UCITS ETF EUR, C]",MSCI China ESG Filtered Min TE Net USD Index,EQUITY EMERGING - ASIA,ETF,BNP Paribas
FLXC.MI,IE00BHZRR147,FRANKLIN FTSE CHINA UCITS ETF,FTSE CHINA 30/18 CAPPED NET TAX INDEX,EQUITY EMERGING - ASIA,ETF,Franklin Templeton
HMCA.MI,IE00BF4NQ904,HSBC MSCI CHINA A UCITS ETF,MSCI CHINA A INCLUSION INDEX,EQUITY EMERGING - ASIA,ETF,HSBC
MCHN.MI,IE00BK80XL30,INVESCO MSCI CHINA ALL SHARE UCITS ETF A,MSCI CHINA ALL SHARES STOCK CONNECT SELECT INDEX,EQUITY EMERGING - ASIA,ETF,Invesco
FXC.MI,IE00B02KXK85,ISHARES CHINA LARGE CAP UCITS ETF DIST,FTSE CHINA 50,EQUITY EMERGING - ASIA,ETF,iShares
CHIN.MI,IE0001QF56M0,KraneShares ICBCUBS S&P China 500 UCITS ETF,S&P CHINA 500,EQUITY EMERGING - ASIA,ETF,KraneShares
EMAE.MI,IE00B466KX20,SPDR MSCI EM ASIA UCITS ETF,MSCI EM ASIA TRN INDEX,EQUITY EMERGING - ASIA,ETF,SPDR
AJEUAS.MI,IE00B7WK2W23,UBS MSCI AC Asia ex Japan SF UCITS ETF USD acc,AC ASIA x JP,EQUITY EMERGING - ASIA,ETF,UBS
CNEW.MI,IE0000H445G8,VanEck New China UCITS ETF,MARKETGRADER NEW CHINA ESG INDEX,EQUITY EMERGING - ASIA,ETF,VanEck
XAXJ.MI,LU0322252171,XTR MSCI ACASIA EXJPN ESG SWAP UCITS ETF,MSCI AC ASIA EX JPN LOW CARB SRI LEAD CAPPED INDEX,EQUITY EMERGING - ASIA,ETF,Xtrackers - DWS
ALAT.MI,LU1681045024,AMUNDI MSCI LATIN AMERICA EMER UCITS ETF,EM LAT AM,EQUITY EMERGING - CENTRE/SOUTH AMERICA,ETF,Amundi
BRA.MI,LU1900066207,Amundi MSCI Brazil UCITS ETF Acc,MSCI BRAZIL TRN INDEX,EQUITY EMERGING - CENTRE/SOUTH AMERICA,ETF,Amundi
FLXB.MI,IE00BHZRQY00,FRANKLIN FTSE BRAZIL UCITS ETF,FTSE BRAZIL 30/18 CAPPED NET TAX INDEX,EQUITY EMERGING - CENTRE/SOUTH AMERICA,ETF,Franklin Templeton
IBZL.MI,IE00B0M63516,ISHARES MSCI BRAZIL UCITS ETF DIST,MSCI BRAZIL TRN INDEX,EQUITY EMERGING - CENTRE/SOUTH AMERICA,ETF,iShares
XMBR.MI,LU0292109344,XTRACKERS MSCI BRAZIL UCITS ETF,MSCI BRAZIL TRN INDEX,EQUITY EMERGING - CENTRE/SOUTH AMERICA,ETF,Xtrackers - DWS
EST.MI,LU1900066462,Amundi MSCI East Eur Ex Ru UCITS ETF,MSCI EM EASTERN EUROPE EX RUSSIA TRN,EQUITY EMERGING - EAST EUROPE,ETF,Amundi
TUR.MI,LU1900067601,Amundi MSCI Turkey UCITS ETF Acc,MSCI TURKEY INDEX,EQUITY EMERGING - EAST EUROPE,ETF,Amundi
AIQU.MI,IE000GLIXPP3,AXA IM MSCI Em Mkts Eq PAB UCITS ETF A,MSCI EMERGING MARKETS CLIMATE PARIS ALIGNED INDEX,EQUITY EMERGING - WORLD,ETF,AXA IM
LEMA.MI,LU2573967036,Amundi Core MSCI Emerging Markets Swap UCITS ETF Acc,MSCI EMERGING MARKETS TRN INDEX,EQUITY EMERGING - WORLD,ETF,Amundi
EEMK.MI,LU1291097779,"BNP PARIBAS EASY MSCI Emerging Min TE [UCITS ETF EUR, C]",MSCI EMERGING ESG FILTERED MIN TE (NTR),EQUITY EMERGING - WORLD,ETF,BNP Paribas
FEME.MI,IE00BYSX4739,FIDELITY EMER QUAL INCOME UCITS ETF INC,FIDELITY EMERGING MARKETS QUALITY INCOME INDEX NR,EQUITY EMERGING - WORLD,ETF,Fidelity International
FLXE.MI,IE00BF2B0K52,FRANKLIN EM MULTI-FACTOR EQUITY UCITS ETF,LIBERTYQ EMERGING MARKETS NR INDEX,EQUITY EMERGING - WORLD,ETF,Franklin Templeton
GSEM.MI,IE00BJ5CMD00,GOLDMAN ACTIVEBETA EM USD A UCITS ETF,GOLDMAN SACHS ACTIVEBETA EMERGING MARKETS EQUITY,EQUITY EMERGING - WORLD,ETF,Goldman Sachs
HSEM.MI,IE00BKY59G90,HSBC EMERGING MARKET SCREENED EQUITY UCITS ETF,FTSE EMERGING ESG LOW CARBON SELECT INDEX,EQUITY EMERGING - WORLD,ETF,HSBC
EMHD.MI,IE00BYYXBF44,INVESCO FTSE EM HI DIX LOW VOL UCITS ETF,FTSE EMERGING HIGH DIVIDEND LOW VOLATILITY TRN,EQUITY EMERGING - WORLD,ETF,Invesco
RIEM.MI,IE000CBYU7J5,L&G Em Mkts ESG Excl Paris Ali UCITS ETF,FOXBERRY SUSTAINABILITY CONS EMERGING MKTS TOT RET,EQUITY EMERGING - WORLD,ETF,Legal&General
EMRG.MI,IE00B469F816,SPDR MSCI EMERGING MARKETS UCITS ETF,MSCI EMERGING MARKETS TRN INDEX,EQUITY EMERGING - WORLD,ETF,SPDR
EMMUSC.MI,LU0950674175,UBS Core MSCI EM UCITS ETF USD acc,MSCI EMERGING MARKETS TRN INDEX,EQUITY EMERGING - WORLD,ETF,UBS
V3ML.MI,IE0001VXZTV7,Vanguard Esg Emerg Mark Ucits Etf Usd D,FTSE EMERGING ALL CAP CHOICE INDEX,EQUITY EMERGING - WORLD,ETF,Vanguard
VCEU.MI,LU1681042518,AMUNDI MSCI EU VALUE FAC UCITS ETF - EUR,MSCI EUROPE VALUE,EQUITY EUROPE - REGIONAL,ETF,Amundi
AIME.MI,IE000YASIPS3,AXA IM MSCI Eur Equity PAB UCITS ETF Acc,MSCI EUROPE CLIMATE PARIS ALIGNED EUR NTR,EQUITY EUROPE - REGIONAL,ETF,AXA IM
EGRO.MI,LU2244387887,"BNP PARIBAS EASY Growth Europe [UCITS ETF, C]",BNP PARIBAS GROWTH EUROPE ESG (TR) INDEX,EQUITY EUROPE - REGIONAL,ETF,BNP Paribas
DXEZ.MI,LU3008629340,D-X MSCI EMU Screened UCITS ETF,MSCI EMU ESG SCREENED,EQUITY EUROPE - REGIONAL,ETF,Fideuram Asset Management Ireland
FEUI.MI,IE00BYSX4176,FIDELITY EUROPE QUAL INCOME UCITS ETF IN,FIDELITY EUROPE QUALITY INCOME INDEX NR,EQUITY EUROPE - REGIONAL,ETF,Fidelity International
FEUZ.MI,IE00B8X9NY41,FIRST TRUST EUROZONE ALPHADEX UCITS ETF,NASDAQ ALPHADEX EUROZONE INDEX,EQUITY EUROPE - REGIONAL,ETF,First Trust
EUPA.MI,IE00BMDPBY65,FRANKLIN STOXX600 PARIS CLIMAT UCITS ETF,STOXX EUROPE 600 PARIS-ALIGNED BENCHMARK INDEX,EQUITY EUROPE - REGIONAL,ETF,Franklin Templeton
EUSD.MI,IE00082MOBL9,GLOBAL X EUROPEAN SUPERDIVIDEND UCITS ETF EUR Dis,SOLACTIVE EUROPEAN SUPERDIVIDEND INDEX,EQUITY EUROPE - REGIONAL,ETF,Global X
H50E.MI,IE00B4K6B022,HSBC EURO STOXX 50 UCITS ETF,EURO STOXX 50 EUR NET RETURN INDEX,EQUITY EUROPE - REGIONAL,ETF,HSBC
IQEE.MI,LU1603795458,INDEXIQ FACT SUST EUROP EQUITY UCITS ETF,SOLACTIVE CANDRIAM FACTORS SUSTAINABLE EUROPE EQ,EQUITY EUROPE - REGIONAL,ETF,Candriam
SDJE50.MI,IE00B60SWX25,INVESCO EURO STOXX 50 UCITS ETF,EURO STOXX 50 EUR NET RETURN INDEX,EQUITY EUROPE - REGIONAL,ETF,Invesco
LGEU.MI,IE00BFXR5V83,L&G EUROPE EX UK UCITS ETF,SOLACTIVE CORE DEV EU EX UK L&M CAP EUR,EQUITY EUROPE - REGIONAL,ETF,Legal&General
CAPE.MI,LU1079842321,OSSIAM SH BAR CAPE EU SECT VAL UCITS ETF,SHILLER BARCLAYS CAPE EUROPE SECTOR VALUE TRN,EQUITY EUROPE - REGIONAL,ETF,Ossiam
EURO.MI,IE00B910VR50,SPDR MSCI EMU UCITS ETF,MSCI EMU TRN,EQUITY EUROPE - REGIONAL,ETF,SPDR
EMUAA.MI,LU0950668870,UBS Core MSCI EMU UCITS ETF EUR acc,MSCI EMU TRN,EQUITY EUROPE - REGIONAL,ETF,UBS
V3EA.MI,IE000QUOSE01,VANGUARD ESG DEV EU ALLCAP UCITS ETF ACC,FTSE DEVELOPED EUROPE ALL CAP CHOICE INDEX,EQUITY EUROPE - REGIONAL,ETF,Vanguard
TEET.MI,NL0010731816,VanEck European Equal Weight Screened UCITS ETF,SOLACTIVE EUROPEAN EQUITY INDEX GTR,EQUITY EUROPE - REGIONAL,ETF,VanEck
DFEA.MI,IE00BDF16114,WISDOMTREE EU SMALLCAP DIV UCITS ETF ACC,WISDOMTREE EUROPE SMALLCAP DIVIDEND INDEX,EQUITY EUROPE - REGIONAL,ETF,WisdomTree
C40.MI,LU1681046931,AMUNDI CAC 40 ESG UCITS ETF Acc,CAC 40 ESG,EQUITY EUROPE - SINGLE COUNTRY,ETF,Amundi
DAXESG.MI,LU2240851688,AMUNDI DAX 50 ESG UCITS ETF DR,DAX 50 ESG+ NR EUR,EQUITY EUROPE - SINGLE COUNTRY,ETF,Amundi
CG1.MI,FR0010655712,AMUNDI ETF DAX UCITS ETF DR,DAX,EQUITY EUROPE - SINGLE COUNTRY,ETF,Amundi
EXS1.MI,DE0005933931,ISHARES CORE DAX UCITS ETF,DAX,EQUITY EUROPE - SINGLE COUNTRY,ETF,iShares
ISF.MI,IE0005042456,ISHARES CORE FTSE 100 UCITS ETF DIST,FTSE 100,EQUITY EUROPE - SINGLE COUNTRY,ETF,iShares
CSMIB.MI,IE00B53L4X51,ISHARES FTSE MIB UCITS ETF EUR ACC,FTSE MIB TR,EQUITY EUROPE - SINGLE COUNTRY,ETF,iShares
MDAX.MI,IE00BHJYDV33,Invesco MDAX UCITS ETF,MDAX,EQUITY EUROPE - SINGLE COUNTRY,ETF,Invesco
100EUA.MI,LU0136242590,UBS FTSE 100 UCITS ETF GBP dis,FTSE 100 TR,EQUITY EUROPE - SINGLE COUNTRY,ETF,UBS
SW2CHB.MI,LU0977261329,UBS MSCI Switzerland 20/35 UCITS ETF CHF acc,MSCI SWITZERLAND 20/35 TRN,EQUITY EUROPE - SINGLE COUNTRY,ETF,UBS
SVE.MI,LU1169830103,UBS MSCI Switzerland 20/35 UCITS ETF hEUR acc,MSCI SWITZERLAND 20/35 100% HEDGED TO EUR TRN,EQUITY EUROPE - SINGLE COUNTRY,ETF,UBS
VUKE.MI,IE00B810Q511,VANGUARD FTSE 100 UCITS ETF,FTSE 100 NET TAX INDEX,EQUITY EUROPE - SINGLE COUNTRY,ETF,Vanguard
VMIG.MI,IE00BFMXVQ44,Vanguard FTSE 250 UCITS ETF,FTSE 250 INDEX,EQUITY EUROPE - SINGLE COUNTRY,ETF,Vanguard
XDAX.MI,LU0274211480,XTRACKERS DAX UCITS ETF,DAX,EQUITY EUROPE - SINGLE COUNTRY,ETF,Xtrackers - DWS
XMIB.MI,LU0274212538,XTRACKERS FTSE MIB UCITS ETF,FTSE MIB INDEX,EQUITY EUROPE - SINGLE COUNTRY,ETF,Xtrackers - DWS
XSMI.MI,LU0274221281,XTRACKERS SWITZERLAND UCITS ETF,SWISS MARKET INDEX,EQUITY EUROPE - SINGLE COUNTRY,ETF,Xtrackers - DWS
XMGA.MI,IE000XL4IXU1,AMUNDI MSCI USA EX MEGA CAP UCITS ETF,MSCI USA EX MEGA CAP SELECT,EQUITY NORTH AMERICA,ETF,Amundi
RS2K.MI,LU1681038672,AMUNDI RUSSELL 2000 EUR UCITS ETF,RUSSELL 2000 TRN INDEX,EQUITY NORTH AMERICA,ETF,Amundi
ANAE.MI,IE000STJ19F2,AXA IM Nasdaq 100 UCITS ETF H,NASDAQ-100 Notional Net Total Return Index,EQUITY NORTH AMERICA,ETF,AXA IM
AIUU.MI,IE000AXIKJM8,AXA MSCI USA Equity PAB UCITS ETF USD A,MSCI USA CLIMATE PARIS ALIGNED USD NTR,EQUITY NORTH AMERICA,ETF,AXA IM
ENAM.MI,LU1291104575,"BNP PARIBAS EASY MSCI USA Min TE [UCITS ETF, C]",MSCI USA ESG Filtered Min TE Net EUR Index,EQUITY NORTH AMERICA,ETF,BNP Paribas
SPTRE.MI,LU2993390769,BNP PARIBAS EASY S&P 500 II UCITS ETF EUR Acc,S&P 500 NET TR,EQUITY NORTH AMERICA,ETF,BNP Paribas
DXUS.MI,LU2870272577,D-X MSCI USA SCREENED UCITS ETF,MSCI USA ESG SCREENED INDEX,EQUITY NORTH AMERICA,ETF,Fideuram Asset Management Ireland
FUSA.MI,IE00BYXVGY31,FIDELITY US QUALITY INCOME UCITS ETF ACC,FIDELITY US QUALITY INCOME INDEX NR,EQUITY NORTH AMERICA,ETF,Fidelity International
FUSU.MI,IE00BYV1Y969,FIDELITY US QUALITY INCOME UCITS ETF HDG,FIDELITY US QUALITY INCOME INDEX NR,EQUITY NORTH AMERICA,ETF,Fidelity International
UNCA.MI,IE00BD6GCF16,FIRST TRUST US EQUITY INCOME UCITS ETF B,NASDAQ US HIGH EQUITY INCOME NET TOTAL RETURN,EQUITY NORTH AMERICA,ETF,First Trust
USPA.MI,IE00BMDPBZ72,FRANKLIN S&P500 PARIS CLIMATE UCITS ETF,S&P 500 PARIS-ALIGNED CLIMATE INDEX,EQUITY NORTH AMERICA,ETF,Franklin Templeton
GSLC.MI,IE00BJ5CNR11,Goldman Sachs Ac B PaAl St US Cap Eq UCITS ETF,GOLDMAN SACHS ACTIVEBETA U.S. LARGE CAP EQUITY,EQUITY NORTH AMERICA,ETF,Goldman Sachs
HSPD.MI,IE00B5KQNG97,HSBC S&P 500 UCITS ETF,S&P 500 NET TR,EQUITY NORTH AMERICA,ETF,HSBC
EQQQ.MI,IE0032077012,INVESCO EQQQ NASDAQ-100 UCITS ETF,NASDAQ-100,EQUITY NORTH AMERICA,ETF,Invesco
CSSPX.MI,IE00B5BMR087,ISHARES CORE S&P 500 UCITS ETF USD ACC,S&P 500 NET TR,EQUITY NORTH AMERICA,ETF,iShares
